md_file,acordao,relatorio,voto
./md_files/ELEGIS-1714518244774.md,True,True,True
./md_files/ELEGIS-1712516290571.md,True,True,True
./md_files/ELEGIS-1721922893.md,True,True,False
./md_files/ELEGIS-1724252039.md,True,True,True
./md_files/ELEGIS-1716293281.md,True,True,False
./md_files/ELEGIS-1723570032.md,True,True,True
./md_files/ELEGIS-1720613914.md,True,True,False
./md_files/ELEGIS-1717594057.md,True,True,True
./md_files/ELEGIS-1719940671.md,True,True,True
./md_files/ELEGIS-1721233421.md,True,True,True
./md_files/ELEGIS-1712516338743.md,True,True,True
./md_files/ELEGIS-1720613855.md,True,True,False
./md_files/ELEGIS-1722340116.md,True,True,True
./md_files/ELEGIS-1708650822661.md,True,True,True
./md_files/ELEGIS-1709596249989.md,True,True,True
./md_files/ELEGIS-1706994715890.md,True,True,True
./md_files/ELEGIS-1711575277108.md,True,True,True
./md_files/ELEGIS-1718990853.md,True,True,True
./md_files/ELEGIS-1724247569.md,True,True,True
./md_files/ELEGIS-1715594277.md,True,True,True
./md_files/ELEGIS-1708626405154.md,True,True,True
./md_files/ELEGIS-1715354517.md,True,True,True
./md_files/ELEGIS-1721233365.md,True,True,True
./md_files/ELEGIS-1717503989.md,True,True,True
./md_files/ELEGIS-1724247185.md,True,True,False
./md_files/ELEGIS-1720097944.md,True,True,True
./md_files/ELEGIS-1713912038833.md,True,True,True
./md_files/ELEGIS-1723571840.md,True,True,True
./md_files/ELEGIS-1716299776.md,True,True,True
./md_files/ELEGIS-1712704031448.md,True,True,True
./md_files/ELEGIS-1724075596.md,False,False,False
./md_files/ELEGIS-1721231379.md,True,True,True
./md_files/ELEGIS-1712624559095.md,True,True,True
./md_files/ELEGIS-1715354517.md,True,True,True
./md_files/ELEGIS-1721923472.md,True,True,False
./md_files/ELEGIS-1712509058466.md,False,False,False
./md_files/ELEGIS-1718988854.md,True,True,True
./md_files/ELEGIS-1712704162478.md,True,True,True
./md_files/ELEGIS-1712518157378.md,True,True,True
./md_files/ELEGIS-1711574893261.md,True,True,True
./md_files/ELEGIS-1716208681.md,True,True,True
./md_files/ELEGIS-1708655377615.md,True,True,True
./md_files/ELEGIS-1709597593194.md,True,True,True
./md_files/ELEGIS-1717503989.md,True,True,True
./md_files/ELEGIS-1717595228.md,True,True,True
./md_files/ELEGIS-1721233158.md,True,True,True
./md_files/ELEGIS-1724074285.md,True,True,True
./md_files/ELEGIS-1708651101205.md,True,True,True
./md_files/ELEGIS-1712704364289.md,True,True,True
./md_files/ELEGIS-1710973550537.md,True,True,True
